Word1,Word2,Head,Order_Candidates
꽃뱀,북엇국,1,"[('꽃벗국', [1, 0, 5, 0, 0, 1]), ('꽃벳국', [1, 0, 5, 0, 0, 1]), ('꽃베국', [1, 0, 6, 0, 0, 1]), ('꼬엇국', [1, 0, 7, 0, 0, 1]), ('꽃벰국', [1, 0, 8, 0, 0, 1])]"
쇳조각,휠체어,1,"[('쉣조거', [0, 0, 8, 1, 0, 2]), ('쉣체어', [0, 0, 9, 1, 0, 1]), ('쉴체어', [0, 0, 9, 1, 0, 1]), ('쉘체어', [0, 0, 9, 1, 0, 1]), ('쉣조어', [0, 0, 9, 1, 0, 1])]"
슈퍼마켓,깊이,1,"[('슈피', [1, 0, 9, 0, 0, 1]), ('슈이', [1, 0, 10, 0, 0, 0]), ('슈퍼미', [1, 1, 7, 0, 0, 1]), ('슈퍼이', [1, 1, 8, 0, 0, 0]), ('슈퍼마키', [1, 2, 5, 0, 0, 1])]"
인터넷,굼벵이,1,"[('인터니', [1, 0, 8, 0, 0, 1]), ('인터이', [1, 0, 9, 0, 0, 0]), ('인터네이', [1, 1, 7, 0, 0, 1]), ('인티', [1, 1, 10, 0, 0, 1])]"
콤플렉스,이팔청춘,1,"[('콤플청춘', [1, 0, 9, 0, 0, 0]), ('콤팔청춘', [1, 0, 9, 0, 0, 0]), ('콤플렉춘', [1, 0, 9, 0, 0, 0]), ('콤플렁춘', [1, 0, 9, 0, 0, 1]), ('콤플렝춘', [1, 0, 9, 0, 0, 1])]"
됨됨이,대패질,1,"[('뒘페질', [0, 0, 7, 1, 0, 2]), ('뒘데질', [0, 0, 7, 1, 0, 2]), ('뒈페질', [0, 0, 8, 1, 0, 2]), ('뒈에질', [0, 0, 9, 1, 0, 2]), ('뒘데페질', [0, 1, 5, 1, 0, 3])]"
콩가루,핸디캡,1,"[('콩가켑', [1, 0, 7, 0, 0, 1]), ('콩디켑', [1, 0, 7, 0, 0, 1]), ('콘디켑', [1, 0, 7, 0, 0, 2]), ('콩기켑', [1, 0, 7, 0, 0, 2]), ('코디켑', [1, 0, 8, 0, 0, 2])]"
가래,팝콘,1,"[('갑콘', [0, 0, 4, 1, 0, 1]), ('가콘', [0, 0, 5, 1, 0, 0]), ('가팝콘', [0, 1, 2, 1, 0, 0]), ('가랍콘', [0, 1, 2, 1, 0, 1]), ('가압콘', [0, 1, 3, 1, 0, 1])]"
껌정,보탬,1,"[('껌템', [1, 0, 5, 0, 0, 1]), ('꺼템', [1, 0, 6, 0, 0, 2]), ('껌보템', [1, 1, 3, 0, 0, 1]), ('껌조템', [1, 1, 3, 0, 0, 2]), ('껌저템', [1, 1, 3, 0, 0, 2])]"
못자리,손톱깎이,1,"[('못자리이', [0, 0, 10, 1, 0, 0]), ('못자이', [0, 1, 11, 1, 0, 0]), ('못지', [0, 2, 12, 1, 0, 1]), ('모이', [0, 2, 14, 1, 0, 1])]"
계집종,이니셜,1,"[('계집셜', [1, 0, 6, 0, 0, 0]), ('계니셜', [1, 0, 7, 0, 0, 0]), ('계지셜', [1, 0, 7, 0, 0, 1]), ('계이셜', [1, 0, 8, 0, 0, 0]), ('계집니셜', [1, 1, 4, 0, 0, 0])]"
사또,농활,1,"[('상활', [1, 0, 4, 0, 0, 1]), ('사활', [1, 0, 5, 0, 0, 0]), ('사똥활', [1, 1, 1, 0, 0, 1]), ('사농활', [1, 1, 2, 0, 0, 0]), ('사옹활', [1, 1, 3, 0, 0, 1])]"
위헌,당번,1,"[('윙번', [1, 0, 5, 0, 0, 1]), ('위번', [1, 0, 6, 0, 0, 0]), ('위당번', [1, 1, 3, 0, 0, 0]), ('위헝번', [1, 1, 3, 0, 0, 1]), ('위항번', [1, 1, 3, 0, 0, 1])]"
걷기,찜통,1,"[('걷통', [1, 0, 5, 0, 0, 0]), ('검통', [1, 0, 5, 0, 0, 1]), ('거통', [1, 0, 6, 0, 0, 1]), ('걷김통', [1, 1, 1, 0, 0, 1]), ('걷찜통', [1, 1, 2, 0, 0, 0])]"
탤런트,고해,1,"[('텔헤', [1, 0, 7, 0, 0, 2]), ('테헤', [1, 0, 8, 0, 0, 2]), ('텔런헤', [1, 1, 4, 0, 0, 2]), ('텔고헤', [1, 1, 5, 0, 0, 2]), ('텔러헤', [1, 1, 5, 0, 0, 3])]"
강대,광택제,1,"[('강덱제', [0, 0, 5, 1, 0, 1]), ('강텍제', [0, 0, 6, 1, 0, 1]), ('가텍제', [0, 0, 7, 1, 0, 2]), ('가엑제', [0, 0, 8, 1, 0, 2]), ('강데제', [0, 0, 9, 1, 0, 1])]"
수탉,근삿값,1,"[('순삿값', [0, 0, 5, 1, 0, 1]), ('수삿값', [1, 0, 6, 0, 0, 0]), ('수탓값', [1, 0, 6, 0, 0, 1]), ('수타값', [1, 0, 7, 0, 0, 1]), ('수앗값', [1, 0, 7, 0, 0, 1])]"
에어컨디셔너,곱절,1,"[('에어컨디셔절', [0, 4, 5, 1, 0, 0]), ('에어컨디곱절', [0, 4, 5, 1, 0, 0]), ('에어컨디솝절', [0, 4, 5, 1, 0, 1]), ('에어컨디셔너절', [0, 5, 6, 1, 0, 0]), ('에어컨디셔넙절', [0, 5, 6, 1, 0, 1])]"
새싹,뉘우침,1,"[('세쑤침', [1, 0, 5, 0, 0, 2]), ('세싸침', [1, 0, 5, 0, 0, 2]), ('세우침', [1, 0, 6, 0, 0, 1]), ('세싹침', [1, 0, 7, 0, 0, 1]), ('세뉘우침', [1, 1, 3, 0, 0, 1])]"
강심제,어휘집,1,"[('강휘집', [1, 0, 6, 0, 0, 0]), ('강심집', [1, 0, 6, 0, 0, 0]), ('강쉬집', [1, 0, 6, 0, 0, 1]), ('가휘집', [1, 0, 7, 0, 0, 1]), ('강시집', [1, 0, 7, 0, 0, 1])]"
느낌,돋보기안경,1,"[('늗보기안경', [1, 0, 5, 0, 0, 1]), ('느보기안경', [1, 0, 6, 0, 0, 0]), ('느꼬기안경', [1, 0, 6, 0, 0, 1]), ('느끼기안경', [1, 0, 6, 0, 0, 1]), ('느오기안경', [1, 0, 7, 0, 0, 1])]"
연둣빛,사흘,1,"[('연흘', [1, 0, 8, 0, 0, 0]), ('여흘', [1, 0, 9, 0, 0, 1]), ('연둣흘', [1, 1, 5, 0, 0, 0]), ('연사흘', [1, 1, 6, 0, 0, 0]), ('연다흘', [1, 1, 6, 0, 0, 1])]"
칡넝쿨,염탐꾼,1,"[('칡탐꾼', [0, 0, 9, 1, 0, 0]), ('칡넝꾼', [0, 0, 9, 1, 0, 0]), ('칡남꾼', [0, 0, 9, 1, 0, 1]), ('침탐꾼', [0, 0, 9, 1, 0, 1]), ('칡넘꾼', [0, 0, 9, 1, 0, 1])]"
낙관론,귀티,1,"[('낙관티', [0, 1, 6, 2, 0, 0]), ('낙귀티', [0, 1, 7, 2, 0, 0]), ('낙과티', [0, 1, 7, 2, 0, 1]), ('낙기티', [0, 1, 8, 1, 0, 1]), ('낙관로티', [0, 2, 4, 2, 0, 1])]"
냉각,공통분모,1,"[('넹통분모', [0, 0, 6, 1, 0, 1]), ('넹공분모', [0, 0, 6, 1, 0, 1]), ('넹강분모', [0, 0, 6, 1, 0, 2]), ('넹가분모', [0, 0, 7, 1, 0, 2]), ('넹가운모', [0, 0, 8, 1, 0, 3])]"
요쯤,가장행렬,1,[]
밧데리,개막,1,"[('밧데막', [0, 1, 4, 1, 0, 0]), ('밧게막', [0, 1, 4, 1, 0, 1]), ('밧데레막', [0, 2, 2, 1, 0, 1]), ('밧데게막', [0, 2, 2, 1, 0, 1]), ('밧데에막', [0, 2, 3, 1, 0, 1])]"
결근,떡두꺼비,1,"[('결두꺼비', [1, 0, 6, 0, 0, 0]), ('격두꺼비', [1, 0, 6, 0, 0, 1]), ('결그꺼비', [1, 0, 6, 0, 0, 1]), ('결구꺼비', [1, 0, 6, 0, 0, 1]), ('겨두꺼비', [1, 0, 7, 0, 0, 1])]"
안전밸브,결함,1,"[('안함', [1, 0, 12, 0, 0, 0]), ('안결함', [1, 1, 8, 0, 0, 0]), ('안졀함', [1, 1, 8, 0, 0, 1]), ('안전함', [1, 1, 9, 0, 0, 0]), ('안절함', [1, 1, 9, 0, 0, 1])]"
사나흘,겉모습,1,"[('샅모습', [1, 0, 7, 0, 0, 1]), ('사나습', [1, 0, 8, 0, 0, 0]), ('사모습', [1, 0, 8, 0, 0, 0]), ('사노습', [1, 0, 8, 0, 0, 1]), ('사오습', [1, 0, 9, 0, 0, 1])]"
볏짚,톨게이트,1,"[('볏지이트', [0, 0, 6, 1, 0, 1]), ('벼게이트', [0, 0, 7, 1, 0, 1]), ('볏질게이트', [0, 1, 3, 1, 0, 1]), ('볏지게이트', [0, 1, 4, 1, 0, 1]), ('볏지에이트', [0, 1, 5, 1, 0, 2])]"
관하,국립묘지,1,"[('관하오지', [0, 0, 11, 1, 0, 1]), ('관호지', [0, 1, 9, 1, 0, 1]), ('관하지', [0, 1, 11, 1, 0, 0]), ('과오지', [0, 1, 11, 1, 0, 2]), ('관지', [0, 2, 11, 1, 0, 0])]"
캘린더,탯줄,1,"[('켓줄', [0, 0, 8, 1, 0, 1]), ('켈줄', [0, 0, 8, 1, 0, 1]), ('케줄', [0, 0, 9, 1, 0, 1]), ('켈린줄', [0, 1, 5, 1, 0, 1]), ('켈텟줄', [0, 1, 5, 1, 0, 2])]"
돛단배,뺄셈,1,"[('돛단셈', [0, 1, 5, 1, 0, 0]), ('돛델셈', [0, 1, 5, 1, 0, 1]), ('돛뻴셈', [0, 1, 5, 1, 0, 1]), ('돛달셈', [0, 1, 5, 1, 0, 1]), ('돛단벨셈', [0, 2, 1, 1, 0, 1])]"
나무줄기,에스파냐어,1,"[('나무줄냐어', [1, 0, 7, 0, 0, 0]), ('나무줄갸어', [1, 0, 7, 0, 0, 1]), ('나스파냐어', [1, 0, 8, 0, 0, 0]), ('나무파냐어', [1, 0, 8, 0, 0, 0]), ('나무줄가어', [1, 0, 8, 0, 0, 1])]"
냉가슴,드라이클리닝,1,"[('넹가스클리닝', [0, 0, 6, 1, 0, 2]), ('넹가스을리닝', [0, 0, 7, 1, 0, 3]), ('네라이클리닝', [0, 0, 8, 1, 0, 1]), ('넹가슴클리닝', [0, 0, 13, 1, 0, 1]), ('넹가스이클리닝', [0, 1, 5, 1, 0, 2])]"
굼벵이,난롯가,1,"[('굼벵가', [1, 0, 7, 0, 0, 0]), ('굼롯가', [1, 0, 7, 0, 0, 0]), ('굼벳가', [1, 0, 7, 0, 0, 1]), ('굼봇가', [1, 0, 7, 0, 0, 1]), ('군롯가', [1, 0, 7, 0, 0, 1])]"
훼손,터럭,1,"[('훼럭', [1, 0, 5, 0, 0, 0]), ('훠럭', [1, 0, 5, 0, 0, 1]), ('훼터럭', [1, 1, 3, 0, 0, 0]), ('훼소럭', [1, 1, 3, 0, 0, 1]), ('훼서럭', [1, 1, 3, 0, 0, 1])]"
고금리,훌라후프,1,"[('고금후프', [1, 0, 7, 0, 0, 0]), ('고금루프', [1, 0, 7, 0, 0, 1]), ('골라후프', [1, 0, 7, 0, 0, 1]), ('고라후프', [1, 0, 8, 0, 0, 0]), ('고가후프', [1, 0, 8, 0, 0, 1])]"
덕목,따귀,1,"[('덕귀', [1, 0, 5, 0, 0, 0]), ('더귀', [1, 0, 6, 0, 0, 1]), ('덕따귀', [1, 1, 3, 0, 0, 0]), ('덕마귀', [1, 1, 3, 0, 0, 1]), ('덕모귀', [1, 1, 3, 0, 0, 1])]"
개장국,부응,1,"[('게증', [1, 0, 7, 0, 0, 2]), ('게응', [1, 0, 8, 0, 0, 1]), ('게장긍', [1, 1, 4, 0, 0, 2]), ('게부응', [1, 1, 6, 0, 0, 1]), ('게자응', [1, 1, 6, 0, 0, 2])]"
기운,사령탑,1,"[('기령탑', [1, 0, 4, 0, 0, 0]), ('기영탑', [1, 0, 5, 0, 0, 1]), ('기엉탑', [1, 0, 6, 0, 0, 1]), ('기웅탑', [1, 0, 6, 0, 0, 1]), ('기우탑', [1, 0, 7, 0, 0, 1])]"
힐책,드라이브,1,"[('힐라이브', [1, 0, 5, 0, 0, 0]), ('힐차이브', [1, 0, 5, 0, 0, 1]), ('힐체이브', [1, 0, 5, 0, 0, 1]), ('히라이브', [1, 0, 6, 0, 0, 1]), ('히아이브', [1, 0, 7, 0, 0, 2])]"
농고,여덟째,1,"[('농덟쩨', [1, 0, 4, 0, 0, 1]), ('농걻쩨', [1, 0, 4, 0, 0, 2]), ('노덟쩨', [1, 0, 5, 0, 0, 2]), ('노얿쩨', [1, 0, 6, 0, 0, 3]), ('농고쩨', [1, 0, 7, 0, 0, 1])]"
명암,가장행렬,1,[]
쉼터,머리숱,1,"[('쉼리숱', [1, 0, 4, 0, 0, 0]), ('쉼티숱', [1, 0, 4, 0, 0, 1]), ('숴리숱', [1, 0, 5, 0, 0, 1]), ('쉬리숱', [1, 0, 5, 0, 0, 1]), ('쉬이숱', [1, 0, 6, 0, 0, 2])]"
고질병,몸무게,1,"[('고질게', [0, 0, 9, 1, 0, 0]), ('곰무게', [0, 0, 9, 1, 0, 1]), ('고무게', [0, 0, 10, 1, 0, 0]), ('고주게', [0, 0, 10, 1, 0, 1]), ('고지게', [0, 0, 10, 1, 0, 1])]"
딸기,겉모양,1,"[('딸모양', [1, 0, 5, 0, 0, 0]), ('땉모양', [1, 0, 5, 0, 0, 1]), ('딸고양', [1, 0, 5, 0, 0, 1]), ('따모양', [1, 0, 6, 0, 0, 1]), ('따오양', [1, 0, 7, 0, 0, 2])]"
가부장,일렬횡대,1,"[('가벌휑데', [1, 0, 8, 0, 0, 3]), ('가불휑데', [1, 0, 8, 0, 0, 3]), ('가부장데', [1, 0, 9, 0, 0, 1]), ('가부휑데', [1, 0, 9, 0, 0, 2]), ('가부쥉데', [1, 0, 9, 0, 0, 2])]"
된장찌개,신데렐라,1,"[('뒌장렐라', [1, 0, 9, 0, 0, 1]), ('뒌장찔라', [1, 0, 9, 0, 0, 2]), ('뒌장쩰라', [1, 0, 9, 0, 0, 2]), ('뒌데렐라', [1, 0, 10, 0, 0, 1]), ('뒨데렐라', [1, 0, 10, 0, 0, 1])]"
레지던트,강골,1,"[('렝골', [1, 0, 9, 0, 0, 1]), ('레골', [1, 0, 10, 0, 0, 0]), ('레강골', [1, 1, 7, 0, 0, 0]), ('레징골', [1, 1, 7, 0, 0, 1]), ('레장골', [1, 1, 7, 0, 0, 1])]"
깻묵,잼잼,1,"[('껨젬', [0, 0, 6, 1, 0, 2]), ('껫젬', [0, 0, 6, 1, 0, 2]), ('께젬', [0, 0, 7, 1, 0, 2]), ('껫젬젬', [0, 1, 3, 1, 0, 3]), ('껫뭄젬', [0, 1, 3, 1, 0, 3])]"
간헐적,못난이,1,"[('간헐지', [1, 0, 8, 0, 0, 1]), ('간허이', [1, 0, 10, 0, 0, 1]), ('간헐저이', [1, 1, 7, 0, 0, 1]), ('간히', [1, 1, 11, 0, 0, 1]), ('가이', [1, 1, 13, 0, 0, 1])]"
인슐린,가락지,1,"[('인슐지', [1, 0, 8, 0, 0, 0]), ('인슉지', [1, 0, 8, 0, 0, 1]), ('인샥지', [1, 0, 8, 0, 0, 1]), ('인락지', [1, 0, 9, 0, 0, 0]), ('인슈지', [1, 0, 9, 0, 0, 1])]"
끓는점,손찌검,1,"[('끓는검', [1, 0, 8, 0, 0, 0]), ('끓찌검', [1, 0, 9, 0, 0, 0]), ('끓니검', [1, 0, 9, 0, 0, 1]), ('끈찌검', [1, 0, 9, 0, 0, 1]), ('끓느검', [1, 0, 9, 0, 0, 1])]"
그글피,굼벵이,1,"[('그그이', [0, 0, 9, 1, 0, 0]), ('그글피이', [0, 1, 7, 2, 1, 0]), ('그기', [0, 1, 10, 1, 0, 1]), ('그이', [0, 1, 11, 1, 0, 0])]"
